Reference,Subhead,Match Status,X-Coord,Page,Even/Odd
Genesis 29:22,Jacob Meets Rachel,MATCH,"(209.91929626464844, 22.48088836669922, 282.13531494140625, 32.95288848876953)",15.0,ODD
Genesis 29:12,Jacob Deceived,MATCH,"(209.91929626464844, 294.48089599609375, 265.2372741699219, 304.952880859375)",15.0,ODD
Genesis 29:30,Jacob's Sons,COULD NOT MATCH,,,
Genesis 30:24,Jacob's Flocks Multiply,COULD NOT MATCH,,,
Genesis 31:43,Jacob Separates from Laban,MATCH,"(198.58070373535156, 502.48089599609375, 303.6237487792969, 512.952880859375)",16.0,ODD
Genesis 31:21,Laban Overtakes Jacob,MATCH,"(28.346500396728516, 318.48089599609375, 114.08600616455078, 328.952880859375)",17.0,ODD
Genesis 31:35,Jacob's Covenant with Laban,COULD NOT MATCH,,,
Genesis 32:55,Preparing to Meet Esau,MATCH,"(209.91920471191406, 494.48089599609375, 297.35028076171875, 504.952880859375)",17.0,ODD
Genesis 32:23,Jacob Wrestles with God,MATCH,"(17.00790023803711, 406.48089599609375, 108.46790313720703, 416.952880859375)",18.0,ODD
Genesis 33:32,Jacob Meets Esau,MATCH,"(198.58070373535156, 22.48088836669922, 262.1436767578125, 32.95288848876953)",18.0,ODD
Genesis 34:20,Dinah Defiled,MATCH,"(198.58070373535156, 446.48089599609375, 250.3542022705078, 456.952880859375)",18.0,ODD
Genesis 35:31,Return to Bethel,MATCH,"(28.346500396728516, 478.48089599609375, 92.5215072631836, 488.952880859375)",19.0,ODD
Genesis 35:15,Rachel's Death,COULD NOT MATCH,,,
Genesis 35:20,Israel's Sons,COULD NOT MATCH,,,
Genesis 35:26,Isaac's Death,COULD NOT MATCH,,,
Genesis 36:29,Esau's Family,COULD NOT MATCH,,,
Genesis 36:19,Seir's Family,COULD NOT MATCH,,,
Genesis 36:30,Rulers of Edom,MATCH,"(198.58070373535156, 126.48088836669922, 255.2161865234375, 136.95289611816406)",20.0,ODD
Genesis 37:43,Joseph's Dreams,COULD NOT MATCH,,,
Genesis 37:11,Joseph Sold into Slavery,MATCH,"(28.346500396728516, 142.48089599609375, 120.43550109863281, 152.95289611816406)",21.0,ODD
Genesis 38:36,Judah and Tamar,MATCH,"(209.91929626464844, 78.48088836669922, 275.06329345703125, 88.95288848876953)",21.0,ODD
Genesis 39:30,Joseph in Potiphar's House,COULD NOT MATCH,,,
Genesis 39:20,Joseph in Prison,MATCH,"(198.58070373535156, 54.48088836669922, 258.2677001953125, 64.95288848876953)",22.0,ODD
Genesis 40:23,Joseph Interprets Two Prisoners' Dreams,COULD NOT MATCH,,,
Genesis 41:23,Joseph Interprets Pharaoh's Dreams,COULD NOT MATCH,,,
Genesis 41:36,Joseph Exalted,MATCH,"(209.91929626464844, 150.48089599609375, 266.2232666015625, 160.95289611816406)",23.0,ODD
Genesis 41:45,Joseph's Administration,COULD NOT MATCH,,,
Genesis 42:57,Joseph's Brothers in Egypt,COULD NOT MATCH,,,
Genesis 42:26,The Brothers Return Home,MATCH,"(17.00790023803711, 542.4808959960938, 116.61090087890625, 552.952880859375)",24.0,ODD
Genesis 43:38,Decision to Return to Egypt,MATCH,"(198.58070373535156, 278.48089599609375, 301.33721923828125, 288.952880859375)",24.0,ODD
Genesis 43:14,The Return to Egypt,MATCH,"(28.346500396728516, 22.48088836669922, 102.8064956665039, 32.95288848876953)",25.0,ODD
Genesis 44:34,Joseph's Final Test,COULD NOT MATCH,,,
Genesis 44:17,Judah's Plea for Benjamin,COULD NOT MATCH,,,
Genesis 45:34,Joseph Reveals His Identity,MATCH,"(17.00790023803711, 70.48088836669922, 118.28539276123047, 80.95288848876953)",26.0,ODD
Genesis 45:15,The Return for Jacob,MATCH,"(17.00790023803711, 398.48089599609375, 95.4884033203125, 408.952880859375)",26.0,ODD
Genesis 46:28,Jacob Leaves for Egypt,MATCH,"(198.58070373535156, 110.48088836669922, 282.6966857910156, 120.95288848876953)",26.0,ODD
